DeepMimic: obs=128 act=29 clip=261.3s  max_steps=13067
iter  105 | ep_len   53.2 | ep_ret    29.75 | pi -0.198 | v 1.201 | ent 35.66 | std 0.828
iter  106 | ep_len   54.3 | ep_ret    30.48 | pi -0.139 | v 1.212 | ent 35.75 | std 0.831
iter  107 | ep_len   51.8 | ep_ret    28.94 | pi -0.058 | v 1.249 | ent 35.86 | std 0.834
iter  108 | ep_len   53.6 | ep_ret    30.22 | pi -0.168 | v 1.199 | ent 35.98 | std 0.837
iter  109 | ep_len   49.7 | ep_ret    27.25 | pi -0.158 | v 0.855 | ent 36.12 | std 0.841
iter  110 | ep_len   55.6 | ep_ret    30.84 | pi -0.164 | v 1.671 | ent 36.26 | std 0.845
iter  111 | ep_len   53.9 | ep_ret    30.14 | pi +0.005 | v 1.207 | ent 36.34 | std 0.848
iter  112 | ep_len   56.3 | ep_ret    31.02 | pi -0.141 | v 1.324 | ent 36.43 | std 0.850
iter  113 | ep_len   49.3 | ep_ret    27.26 | pi -0.213 | v 1.061 | ent 36.50 | std 0.852
iter  114 | ep_len   49.0 | ep_ret    27.04 | pi -0.100 | v 1.048 | ent 36.57 | std 0.855
iter  115 | ep_len   53.3 | ep_ret    29.59 | pi -0.075 | v 1.527 | ent 36.71 | std 0.859
iter  116 | ep_len   55.8 | ep_ret    30.77 | pi -0.065 | v 1.291 | ent 36.80 | std 0.861
iter  117 | ep_len   55.1 | ep_ret    30.68 | pi -0.246 | v 1.372 | ent 36.87 | std 0.863
iter  118 | ep_len   49.6 | ep_ret    27.15 | pi -0.027 | v 1.183 | ent 36.97 | std 0.867
iter  119 | ep_len   51.0 | ep_ret    27.80 | pi -0.155 | v 1.084 | ent 37.04 | std 0.869
iter  120 | ep_len   55.3 | ep_ret    30.94 | pi -0.273 | v 1.161 | ent 37.13 | std 0.871
iter  121 | ep_len   51.3 | ep_ret    28.59 | pi -0.081 | v 1.147 | ent 37.19 | std 0.873
iter  122 | ep_len   61.9 | ep_ret    34.29 | pi -0.134 | v 1.838 | ent 37.25 | std 0.875
iter  123 | ep_len   53.2 | ep_ret    28.66 | pi -0.116 | v 1.731 | ent 37.34 | std 0.877
iter  124 | ep_len   49.2 | ep_ret    26.76 | pi -0.074 | v 1.163 | ent 37.41 | std 0.880
iter  125 | ep_len   52.3 | ep_ret    28.56 | pi -0.073 | v 1.340 | ent 37.49 | std 0.882
iter  126 | ep_len   50.2 | ep_ret    27.35 | pi -0.125 | v 0.745 | ent 37.57 | std 0.885
iter  127 | ep_len   55.0 | ep_ret    30.10 | pi -0.157 | v 1.217 | ent 37.67 | std 0.887
iter  128 | ep_len   54.0 | ep_ret    29.90 | pi -0.122 | v 1.478 | ent 37.77 | std 0.891
iter  129 | ep_len   49.2 | ep_ret    26.91 | pi -0.089 | v 1.200 | ent 37.89 | std 0.895
iter  130 | ep_len   56.1 | ep_ret    30.93 | pi -0.061 | v 1.432 | ent 37.97 | std 0.897
iter  131 | ep_len   51.5 | ep_ret    28.16 | pi -0.141 | v 1.395 | ent 38.04 | std 0.899
iter  132 | ep_len   53.2 | ep_ret    29.10 | pi -0.063 | v 0.831 | ent 38.16 | std 0.903
iter  133 | ep_len   50.4 | ep_ret    27.32 | pi -0.068 | v 1.238 | ent 38.24 | std 0.905
iter  134 | ep_len   48.0 | ep_ret    26.10 | pi -0.144 | v 1.493 | ent 38.34 | std 0.908
iter  135 | ep_len   47.7 | ep_ret    25.59 | pi -0.022 | v 0.808 | ent 38.45 | std 0.912
iter  136 | ep_len   51.0 | ep_ret    27.52 | pi -0.109 | v 1.012 | ent 38.58 | std 0.916
iter  137 | ep_len   50.2 | ep_ret    27.60 | pi -0.140 | v 0.773 | ent 38.68 | std 0.919
iter  138 | ep_len   53.1 | ep_ret    28.56 | pi -0.058 | v 1.085 | ent 38.82 | std 0.924
iter  139 | ep_len   52.7 | ep_ret    28.45 | pi -0.093 | v 1.538 | ent 38.93 | std 0.927
iter  140 | ep_len   50.6 | ep_ret    27.14 | pi -0.061 | v 1.229 | ent 39.05 | std 0.931
iter  141 | ep_len   50.6 | ep_ret    27.38 | pi -0.087 | v 0.717 | ent 39.12 | std 0.933
iter  142 | ep_len   45.9 | ep_ret    24.38 | pi -0.188 | v 0.886 | ent 39.24 | std 0.937
iter  143 | ep_len   55.3 | ep_ret    30.11 | pi -0.149 | v 1.125 | ent 39.36 | std 0.941
iter  144 | ep_len   52.1 | ep_ret    28.38 | pi -0.050 | v 0.992 | ent 39.50 | std 0.946
iter  145 | ep_len   51.6 | ep_ret    28.07 | pi -0.079 | v 0.967 | ent 39.62 | std 0.949
iter  146 | ep_len   50.5 | ep_ret    27.44 | pi -0.252 | v 0.907 | ent 39.70 | std 0.952
iter  147 | ep_len   48.6 | ep_ret    26.13 | pi -0.257 | v 0.789 | ent 39.80 | std 0.956
iter  148 | ep_len   52.8 | ep_ret    28.88 | pi -0.079 | v 1.141 | ent 39.91 | std 0.959
iter  149 | ep_len   53.8 | ep_ret    29.03 | pi -0.154 | v 0.884 | ent 39.99 | std 0.962
iter  150 | ep_len   48.1 | ep_ret    26.07 | pi -0.075 | v 0.851 | ent 40.03 | std 0.963
iter  151 | ep_len   53.2 | ep_ret    28.89 | pi -0.234 | v 0.755 | ent 40.13 | std 0.966
iter  152 | ep_len   52.7 | ep_ret    28.54 | pi -0.135 | v 1.209 | ent 40.24 | std 0.970
iter  153 | ep_len   57.8 | ep_ret    31.19 | pi -0.148 | v 1.091 | ent 40.34 | std 0.973
iter  154 | ep_len   53.3 | ep_ret    28.70 | pi -0.151 | v 1.249 | ent 40.44 | std 0.977
iter  155 | ep_len   53.9 | ep_ret    28.57 | pi -0.154 | v 0.885 | ent 40.53 | std 0.980
iter  156 | ep_len   50.7 | ep_ret    27.29 | pi -0.167 | v 1.389 | ent 40.65 | std 0.984
iter  157 | ep_len   50.4 | ep_ret    27.05 | pi -0.080 | v 1.199 | ent 40.76 | std 0.988
iter  158 | ep_len   51.6 | ep_ret    27.78 | pi -0.142 | v 1.035 | ent 40.89 | std 0.992
iter  159 | ep_len   54.3 | ep_ret    29.25 | pi -0.140 | v 1.575 | ent 41.02 | std 0.997
iter  160 | ep_len   55.1 | ep_ret    30.10 | pi -0.238 | v 1.113 | ent 41.11 | std 1.000
iter  161 | ep_len   54.7 | ep_ret    29.50 | pi -0.123 | v 0.898 | ent 41.18 | std 1.002
iter  162 | ep_len   49.8 | ep_ret    26.57 | pi -0.207 | v 1.222 | ent 41.27 | std 1.005
iter  163 | ep_len   50.9 | ep_ret    26.95 | pi -0.122 | v 1.209 | ent 41.38 | std 1.009
iter  164 | ep_len   48.0 | ep_ret    25.63 | pi -0.149 | v 0.683 | ent 41.46 | std 1.012
iter  165 | ep_len   54.1 | ep_ret    29.00 | pi -0.103 | v 0.909 | ent 41.55 | std 1.015
iter  166 | ep_len   52.5 | ep_ret    28.00 | pi -0.096 | v 1.362 | ent 41.63 | std 1.018
iter  167 | ep_len   52.8 | ep_ret    28.07 | pi -0.023 | v 0.838 | ent 41.72 | std 1.021
iter  168 | ep_len   52.7 | ep_ret    28.34 | pi -0.122 | v 0.766 | ent 41.81 | std 1.024
iter  169 | ep_len   57.1 | ep_ret    30.76 | pi -0.128 | v 1.331 | ent 41.87 | std 1.026
iter  170 | ep_len   58.3 | ep_ret    30.99 | pi -0.137 | v 1.933 | ent 41.96 | std 1.029
iter  171 | ep_len   51.8 | ep_ret    27.64 | pi -0.072 | v 1.234 | ent 42.05 | std 1.033
iter  172 | ep_len   55.3 | ep_ret    29.37 | pi -0.035 | v 1.332 | ent 42.15 | std 1.036
iter  173 | ep_len   48.4 | ep_ret    25.70 | pi -0.170 | v 0.982 | ent 42.24 | std 1.040
iter  174 | ep_len   50.6 | ep_ret    26.96 | pi +0.000 | v 1.215 | ent 42.31 | std 1.042
iter  175 | ep_len   50.4 | ep_ret    26.51 | pi -0.106 | v 1.061 | ent 42.41 | std 1.046
